"","scorecutoff","tissue","which.one","gene","ensgene","module","p.val.mods"
"ENSG00000008710","1","cogdnotxad","rosmap","ENSG00000008710","ENSG00000008710","yellow","0.9861"
"ENSG00000269323","1","cogdnotxad","rosmap","ENSG00000269323","ENSG00000269323","void","1"
"ENSG00000127564","1","cogdnotxad","rosmap","ENSG00000127564","ENSG00000127564","lightcyan","0.8078"
"ENSG00000069764","1","cogdnotxad","rosmap","ENSG00000069764","ENSG00000069764","void","1"
"ENSG00000197943","1","cogdnotxad","rosmap","ENSG00000197943","ENSG00000197943","tan","7.401e-07"
"ENSG00000196155","1","cogdnotxad","rosmap","ENSG00000196155","ENSG00000196155","turquoise","1"
"ENSG00000166851","1","cogdnotxad","rosmap","ENSG00000166851","ENSG00000166851","darkorange","0.7711"
"ENSG00000102934","1","cogdnotxad","rosmap","ENSG00000102934","ENSG00000102934","bisque4","0.8572"
"ENSG00000118557","1","cogdnotxad","rosmap","ENSG00000118557","ENSG00000118557","blue","0.9971"
"ENSG00000140650","1","cogdnotxad","rosmap","ENSG00000140650","ENSG00000140650","turquoise","1"
"POL3S","1","cogdnotxad","rosmap","POL3S","POL3S","void","1"
"ENSG00000102978","1","cogdnotxad","rosmap","ENSG00000102978","ENSG00000102978","blue","0.9971"
"ENSG00000058600","1","cogdnotxad","rosmap","ENSG00000058600","ENSG00000058600","darkslateblue","0.9963"
"ENSG00000161980","1","cogdnotxad","rosmap","ENSG00000161980","ENSG00000161980","darkturquoise","0.3335"
"ENSG00000118898","1","cogdnotxad","rosmap","ENSG00000118898","ENSG00000118898","midnightblue","0.054"
"ENSG00000149923","1","cogdnotxad","rosmap","ENSG00000149923","ENSG00000149923","sienna3","0.005939"
"ENSG00000126856","1","cogdnotxad","rosmap","ENSG00000126856","ENSG00000126856","void","1"
"PRKCB1","1","cogdnotxad","rosmap","PRKCB1","PRKCB1","void","1"
"ENSG00000175646","1","cogdnotxad","rosmap","ENSG00000175646","ENSG00000175646","void","1"
"ENSG00000122304","1","cogdnotxad","rosmap","ENSG00000122304","ENSG00000122304","void","1"
"ENSG00000178257","1","cogdnotxad","rosmap","ENSG00000178257","ENSG00000178257","void","1"
"ENSG00000132600","1","cogdnotxad","rosmap","ENSG00000132600","ENSG00000132600","orange","0.9852"
"ENSG00000156858","1","cogdnotxad","rosmap","ENSG00000156858","ENSG00000156858","paleturquoise","1"
"ENSG00000167371","1","cogdnotxad","rosmap","ENSG00000167371","ENSG00000167371","floralwhite","0.6928"
"ENSG00000007038","1","cogdnotxad","rosmap","ENSG00000007038","ENSG00000007038","void","1"
"ENSG00000005001","1","cogdnotxad","rosmap","ENSG00000005001","ENSG00000005001","void","1"
"ENSG00000172382","1","cogdnotxad","rosmap","ENSG00000172382","ENSG00000172382","turquoise","1"
"ENSG00000103355","1","cogdnotxad","rosmap","ENSG00000103355","ENSG00000103355","void","1"
"ENSG00000178226","1","cogdnotxad","rosmap","ENSG00000178226","ENSG00000178226","sienna3","0.005939"
"ENSG00000052344","1","cogdnotxad","rosmap","ENSG00000052344","ENSG00000052344","void","1"
"ENSG00000159792","1","cogdnotxad","rosmap","ENSG00000159792","ENSG00000159792","turquoise","1"
"ENSG00000205220","1","cogdnotxad","rosmap","ENSG00000205220","ENSG00000205220","lightgreen","0.8457"
"ENSG00000103035","1","cogdnotxad","rosmap","ENSG00000103035","ENSG00000103035","floralwhite","0.6928"
"ENSG00000103490","1","cogdnotxad","rosmap","ENSG00000103490","ENSG00000103490","tan","7.401e-07"
"ENSG00000169900","1","cogdnotxad","rosmap","ENSG00000169900","ENSG00000169900","darkgreen","0.9493"
"ENSG00000103485","1","cogdnotxad","rosmap","ENSG00000103485","ENSG00000103485","lightcyan1","0.1708"
